id,chapter,text,main_person,related_persons,strategy_type,strategy_method,event,keywords,summary
S001,第二回,绍谓何进曰：“中官结党。今日可乘势尽诛之。”张让等知事急，慌入告何后曰：“始初设谋陷害大将军者，止赛硕一人，并不干臣等事。今大将军听袁绍之言，欲尽诛臣等，乞娘娘怜悯！”何太后曰：“汝等勿忧，我当保汝。”传旨宣何进入。太后密谓曰：“我与汝出身寒微，非张让等，焉能享此富贵？今蹇硕不仁，既已伏诛，汝何听信人言，欲尽诛宦官耶？”何进听罢，出谓众官曰：“蹇硕设谋害我，可族灭其家。其余不必妄加残害。”袁绍曰：“若不斩草除根，必为丧身之本。”进曰：“吾意已决，汝勿多言。”,袁绍,何进、何太后、张让,权力控制,诛杀尽宦,袁绍劝何进尽诛宦官,宦官、诛杀、斩草除根、何进,何进诛杀蹇硕后，袁绍建议趁势尽诛宦官、斩草除根。张让等宦官向何太后告急，太后以自身富贵依赖宦官为由劝阻何进，何进听从，仅诛蹇硕一家。袁绍再次强调不斩草除根必为后患，何进仍不采纳。
S002,第二回,袁绍迎问曰：“大事若何？”进曰：“太后不允，如之奈何？”绍曰：“可召四方英雄之士，勒兵来京，尽诛阉竖。此时事急，不容太后不从。”进曰：“此计大妙！”便发檄至各镇，召赴京师。,袁绍,何进,权力控制,借兵胁迫,袁绍劝何进召外兵,召四方英雄、勒兵来京、尽诛阉竖、胁迫太后,何进因太后不允诛宦官而犹豫，袁绍建议召集外地军队进京，以武力胁迫太后同意。何进采纳，发布檄文召各镇兵马进京，此举直接导致董卓入京、汉室倾覆。
S003,第二回,傍边转过关公来，曰：“兄长建许多大功，仅得县尉，今反被督邮侮辱。吾思枳棘丛中，非栖鸾凤之所；不如杀督邮，弃官归乡，别图远大之计。”玄德乃取印绶，挂于督邮之颈，责之曰：据汝害民，本当杀却；今姑饶汝命。吾缴还印绶，从此去矣。”,关羽,刘备、督邮,人才任用,劝弃官,关羽劝刘备弃官,弃官、别图远大、杀督邮、枳棘丛中,刘备因军功仅得县尉，反遭督邮侮辱。关羽认为身处小人当道之地难有作为，建议杀掉督邮、弃官回乡以图日后大计。刘备没有采纳杀督邮的建议，但选择挂印弃官离去。
S004,第三回,袁绍曰：“今谋已泄，事已露，将军尚欲入宫耶？”曹操曰：“先召十常侍出，然后可入。”进笑曰：“此小儿之见也。吾掌天下之权，十常侍敢待如何？”绍曰：“公必欲去，我等引甲士护从，以防不测。”,袁绍,何进、曹操,权力控制,谏勿入宫,袁绍劝何进勿入宫,谋泄、事露、入宫危险、甲士护从,何进接到太后诏书欲入宫，袁绍指出计谋已经泄露，劝其不要入宫。曹操也建议先召十常侍出来。何进执意前往，袁绍便建议带甲士护从以防不测。何进未听劝阻，最终在宫中被杀。
S005,第三回,中军校尉袁绍挺身出曰：“今上即位未几，并无失德；汝欲废嫡立庶，非反而何？”卓怒曰：“天下事在我！我今为之，谁敢不从！汝视我之剑不利否？”袁绍亦拔剑曰：“汝剑利，吾剑未尝不利！”,袁绍,董卓,政治合法性,反对废立,袁绍反对董卓废立,废立、反对、拔剑、董卓,董卓在宴会上提出废少帝立陈留王，并以武力威胁群臣。袁绍挺身而出，指责董卓此举是反叛，并拔剑与之对峙，表达了坚决反对的立场。此举导致袁绍与董卓决裂，被迫出奔。
S006,第四回,且说董卓欲杀袁绍，李儒止之曰：“事未可定，不可妄杀。”袁绍手提宝剑，辞别百官而出，悬节东门，奔冀州去了。卓谓太傅袁隗曰：“汝侄无礼，吾看汝面，姑恕之。废立之事若何？”隗曰：“太尉所见是也。”卓曰：“敢有阻大议者，以军法从事！”群臣震恐，皆云一听尊命。宴罢，卓问侍中周毖、校尉伍琼曰：“袁绍此去若何？”周毖曰：“袁绍忿忿而去，若购之急，势必为变。且袁氏树恩四世，门生故吏遍于天下；倘收豪杰以聚徒众，英雄因之而起，山东非公有也。不如赦之，拜为一郡守，则绍喜于免罪，必无患矣。”伍琼曰：“袁绍好谋无断，不足为虑；诚不若加之一郡守，以收民心。”卓从之，即日差人拜绍为渤海太守。,袁绍,董卓、李儒、周毖、伍琼,权力控制,自保出奔,袁绍出奔冀州,悬节、奔冀州、渤海太守、赦免,袁绍与董卓决裂后，悬节出奔冀州。董卓本欲追杀，李儒劝阻；后在周毖、伍琼建议下，为免激怒袁氏门生故吏引发变乱，董卓采纳安抚之策，封袁绍为渤海太守。袁绍由此获得合法根据地。
S007,第四回,时袁绍在渤海，闻知董卓弄权，乃差人赍密书来见王允。书略曰：“卓贼欺天废主，人不忍言；而公恣其跋扈，如不听闻，岂报国效忠之臣哉？绍今集兵练卒，欲扫清王室，未敢轻动。公若有心，当乘间图之。如有驱使，即当奉命。”,袁绍,王允,联盟外交,密谋联合,袁绍密约王允图董卓,密书、王允、乘间图之、扫清王室,袁绍在渤海得知董卓弄权，派人送密信给王允，表示自己正在集结兵力，希望王允能找机会除掉董卓，并愿意听从调遣。这是袁绍试图联合朝中大臣共同对付董卓的外交策略。
S008,第五回,操曰：“袁本初四世三公，门多故吏，汉朝名相之裔，可为盟主。”绍再三推辞，众皆曰非本初不可，绍方应允。次日筑台三层，遍列五方旗帜，上建白旄黄钺，兵符将印，请绍登坛。绍整衣佩剑，慨然而上，焚香再拜。其盟曰：“汉室不幸，皇纲失统。贼臣董卓，乘衅纵害，祸加至尊，虐流百姓。绍等惧社稷沦丧，纠合义兵，并赴国难。凡我同盟，齐心戮力，以致臣节，必无二志。有渝此盟，俾坠其命，无克遗育。皇天后土，祖宗明灵，实皆鉴之！”读毕歃血。众因其辞气慷慨，皆涕泗横流。歃血已罢，下坛。众扶绍升帐而坐，两行依爵位年齿分列坐定。操行酒数巡，言曰：“今日既立盟主，各听调遣，同扶国家，勿以强弱计较。”袁绍曰：“绍虽不才，既承公等推为盟主，有功必赏，有罪必罚。国有常刑，军有纪律。各宜遵守，勿得违犯。”众皆曰惟命是听。,袁绍,曹操、众诸侯,联盟外交,联盟主,袁绍被推为讨董盟主,盟主、讨董、联盟、会盟、盟誓,曹操提议袁绍为盟主，众诸侯推举，袁绍应允。筑坛登坛，宣读盟誓，歃血为盟。袁绍升帐后宣布赏罚纪律，要求各诸侯遵守。袁绍由此成为关东群雄的盟主，确立了领导地位。
S009,第五回,绍曰：“吾弟袁术总督粮草，应付诸营，无使有缺。更须一人为先锋，直抵汜水关挑战。余各据险要，以为接应。”,袁绍,袁术,权力控制,分派军务,袁绍部署讨董军事任务,袁术总督粮草、先锋、汜水关、据险要,袁绍作为盟主，下令由其弟袁术负责总督粮草，同时要求派出一名先锋攻打汜水关，其余诸侯各自占据险要位置作为接应。这是袁绍对联军军事行动的具体部署。
S010,第六回,次日，孙坚来辞袁绍曰：“坚抱小疾，欲归长沙，特来别公。”绍笑曰：“吾知公疾乃害传国玺耳。”坚失色曰：“此言何来？”绍曰：“今兴兵讨贼，为国除害。玉玺乃朝廷之宝，公既获得，当对众留于盟主处，候诛了董卓，复归朝廷。今匿之而去，意欲何为？”坚曰：“玉玺何由在吾处？”绍曰：“建章殿井中之物何在？”坚曰：“吾本无之，何强相逼？”绍指天为誓曰：“吾若果得此宝，私自藏匿，异日不得善终，死于刀箭之下！”众诸侯曰：“文台如此说誓，想必无之。”绍唤军士出曰：“打捞之时，有此人否？”坚大怒，拔所佩之剑，要斩那军士。绍亦拔剑曰：“汝斩军人，乃欺我也。”绍背后颜良、文丑皆拔剑出鞘。坚背后程普、黄盖、韩当亦掣刀在手。众诸侯一齐劝住。坚随即上马，拔寨离洛阳而去。,袁绍,孙坚、颜良、文丑,政治合法性,索玉玺,袁绍索要传国玉玺,传国玺、玉玺、质问、拔剑、孙坚,孙坚托病欲回江东，袁绍当面点破其获得传国玉玺，并指出玉玺应归盟主保管，待诛董卓后还于朝廷。孙坚指天发誓否认，袁绍唤出证人，双方拔剑对峙，最终孙坚强行离去。袁绍此举试图控制玉玺以增强政治权威。
